Section,Dist.(Km),Location,River,Lmax (mm),Lmin (mm),Bmax (mm),Bmin (mm),Dmax (mm),Dmin (mm),Color,Type,Number,Number.1
S-14,20.8,Gabtoloi Aminbazar Bridge,Turag,1.0,0.14,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,17.0,118.0
,,,,0.17,0.03,0.07,0.02,0.0,0.0,"Black, Dark Red, Green, Light Blue",Fragment and Sheet,67.0,
,,,,0.12,0.03,0.07,0.02,0.0,0.0,"Black, White, Transparent",Film,15.0,
,,,,0.0,0.0,0.0,0.0,0.13,0.04,"Black, Brown",Pellet,17.0,
,,,,0.0,0.0,0.0,0.0,0.12,0.04,White,Foam,2.0,
S-15,22.4,Dhaka Uddan,Buriganga,0.14,0.06,0.0,0.0,0.0,0.0,"Black, Green, Red, Blue",Fiber and Line,17.0,98.0
,,,,0.09,0.03,0.05,0.02,0.0,0.0,"Brown, Sky Blue, Black",Fragment and Sheet,49.0,
,,,,0.14,0.04,0.05,0.02,0.0,0.0,"White, Green, Transparent",Film,16.0,
,,,,0.0,0.0,0.0,0.0,0.12,0.04,"Black, Brown",Pellet,13.0,
,,,,0.15,0.07,0.12,0.04,0.0,0.0,White,Foam,3.0,
S-16,24.0,Dhaka Uddan,Buriganga,0.14,0.09,0.0,0.0,0.0,0.0,"Black, Green, Red, Blue",Fiber and Line,15.0,78.0
,,,,0.14,0.05,0.09,0.03,0.0,0.0,"Brown, Sky Blue, Black",Fragment and Sheet,31.0,
,,,,0.49,0.18,0.07,0.03,0.0,0.0,Transparent ,Film,17.0,
,,,,0.0,0.0,0.0,0.0,0.11,0.05,"Black, Brown",Pellet,13.0,
,,,,0.0,0.0,0.0,0.0,0.32,0.05,White,Foam,2.0,
S-17,25.6,"Katasur , Bosila",Buriganga,0.49,0.32,0.0,0.0,0.0,0.0,"Black, Red, Blue",Fiber and Line,12.0,83.0
,,,,0.13,0.05,0.08,0.03,0.0,0.0,"Brown, Black",Fragment and Sheet,33.0,
,,,,0.3,0.11,0.1,0.05,0.0,0.0,"White, Transparent",Film,18.0,
,,,,0.0,0.0,0.0,0.0,0.08,0.02,"Black, Brown",Pellet,16.0,
,,,,0.0,0.0,0.0,0.0,0.14,0.02,White,Foam,4.0,
S-18,27.2,"Bosila Landing Station,Bosila",Buriganga,0.83,0.12,0.0,0.0,0.0,0.0,"Black, Red, Brown",Fiber and Line,13.0,68.0
,,,,0.14,0.03,0.09,0.02,0.0,0.0,"Black, Red, Bluish Green",Fragment and Sheet,34.0,
,,,,0.22,0.07,0.04,0.08,0.0,0.0,"White, Transparent",Film,9.0,
,,,,0.0,0.0,0.0,0.0,0.07,0.02,"Black, Brown",Pellet,12.0,
S-19,28.8,Hazaribag,Buriganga,3.81,0.2,0.0,0.0,0.0,0.0,"Black, Red, Brown",Fiber and Line,11.0,88.0
,,,,0.09,0.02,0.06,0.02,0.0,0.0,"Black, Red, Dark-Green",Fragment and Sheet,44.0,
,,,,0.09,0.03,0.06,0.02,0.0,0.0,"White, Transparent",Film,15.0,
,,,,0.0,0.0,0.0,0.0,0.06,0.02,"Black, Brown",Pellet,17.0,
,,,,0.0,0.0,0.0,0.0,0.24,0.04,White,Foam,1.0,
S-20,30.4,Kamrangichar,Buriganga,1.01,0.11,0.0,0.0,0.0,0.0,"Black, Blood Red",Fiber and Line,23.0,84.0
,,,,0.13,0.03,0.07,0.02,0.0,0.0,"Black, Red",Fragment and Sheet,38.0,
,,,,0.16,0.03,0.04,0.02,0.0,0.0,"White, Transparent",Film,8.0,
,,,,0.0,0.0,0.0,0.0,0.06,0.02,"Black, Dark Blue, Brown",Pellet,13.0,
,,,,0.22,0.07,0.03,0.06,0.0,0.0,White,Foam,2.0,
